Student Health and Counseling Services,"UC Davis Student Health and Counseling Services is a comprehensive healthcare and mental health center for UC Davis students. The center provides a variety of medical services, including general exams and specialty services, as well as individual and group counseling, crisis intervention, and psychiatric services. The center's mission is to promote student health and well-being by offering accessible and confidential healthcare and counseling services that support academic success and personal growth. Medical and Mental Health (https://shcs.ucdavis.edu) or call 530-752-230. For after hours Counseling Services consultation call 530-752-2349. "
Mental Health Acute Care Services,"UC Davis ACUTE is a crisis care service provided by UC Davis Student Health and Counseling Services. It is available 24/7 to all UC Davis students in crisis situations. ACUTE provides immediate and confidential support, including crisis intervention and risk assessment, to help students manage a wide array of health needs during times of crisis. The service is staffed by licensed professionals and is available both in-person and through telephone consultation. Visit https://shcs.ucdavis.edu/services/acute-crisis-care to learn more. "
Online video counseling,"Student Health and Counseling Services (SHCS) has expanded appointment services with the addition of online video and telephone consultations. To learn more, visit  https://shcs.ucdavis.edu/online-visits. "
CAN counselors ,"The Community Advising Network (CAN) is a team of diverse counselors who are dedicated to helping students achieve their academic goals and addressing any factors that may be hindering their success. CAN Counselors provide support through informal consultations and/or therapy, and are available to help students. To schedule an appointment with a CAN counselor, please reach out to them directly via email instead of scheduling through Health-e-Messaging. Visit https://shcs.ucdavis.edu/services/counseling/community-advising-network to learn more."
Therapy Assistance Online (TAO),"UC Davis offers free online therapy through Therapy Assitance Online (TAO). To learn more, visit https://taoconnect.org/what_is_tao/us/. "
Aggie Mental Health,Aggie Mental Health is the hub for UC Davis mental health resources. Visit https://mentalhealth.ucdavis.edu to learn more. 
Center for Advocacy Resources and Education (CARE),"The Center for Advocacy, Resources & Education (CARE) is committed to offering primary prevention, education, and advocacy services that are anti-oppressive and trauma-informed to UCD students, faculty, staff, and affiliates who have suffered from sexual assault, sexual harassment, sexual exploitation, intimate partner violence, stalking, and gender identity and sexual orientation-based harassment. CARE takes a personalized approach to its work, acknowledging and respecting the unique identities and experiences of each individual. To learn more, visit https://care.ucdavis.edu/. "
Empower Yolo,"Free and confidential counseling services are provided by Empower Yolo to adult and child survivors of abuse, as well as their family members. Along with treatment programs, they also offer support groups. To learn more, visit http://empoweryolo.org/counseling-services/. "
Suicide Prevention for Yolo County,"The Suicide Prevention for Yolo County (SPYC) website provides information and resources to prevent suicide and support individuals who may be struggling with mental health issues. SPYC includes crisis hotlines, warning signs of suicide, and local mental health resources, as well as educational materials and training opportunities for suicide prevention. The goal of the project is to raise awareness and provide support to the community in order to reduce suicide rates in Yolo County. To learn more, visit http://www.suicidepreventionyolocounty.org/about-spyc/. "
The Student Mental Health Coalition (SMHC),"The UC Davis Student Mental Health Coalition is a group of students who aim to promote mental health awareness and resources on campus. They work to reduce stigma surrounding mental health and provide education and support for students. The coalition advocates for policies and services that prioritize mental health and wellness, and hosts events and campaigns throughout the year to engage the student body. The coalition aims to create a safe and inclusive campus environment where students can access the resources they need to support their mental health. To learn more, visithttps://www.facebook.com/ucdsmhc/."
UC Davis Mental Health Initiative (MHI),"The UC Davis Mental Health Initiative is a campus-wide effort to promote mental health and wellness among students, staff, and faculty. The initiative focuses on providing resources, education, and support for individuals experiencing mental health challenges, reducing the stigma surrounding mental health, and advocating for systemic changes to improve mental health services on campus. The initiative offers a variety of programs, including mental health workshops, peer support groups, and awareness campaigns. Its goal is to foster a culture of mental health and well-being within the UC Davis community. To learn more, visithttps://www.facebook.com/UCDMentalHealth/about?ref=page_internal. "
National Alliance on Mental Health (NAMI) ,"NAMI at UC Davis is a student-led organization affiliated with the National Alliance on Mental Illness. The group aims to promote mental health awareness, education, and advocacy on campus. NAMI at UC Davis offers a variety of programs and resources, including support groups, educational events, and volunteer opportunities. The group also advocates for improved mental health services and policies on campus and in the community. Its mission is to create a supportive and inclusive environment for individuals affected by mental illness, reduce stigma, and raise awareness about mental health issues. To learn more, visit https://namiucdavis.wixsite.com/namiatucdavis. "
